4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
4,2025-02-06,점검인,010-1111-1111,부산 남구,"누수/백태, 강재 손상",,,,,,,,,,,,중규모,,예,구조적 손상 가능,필요,,,대규모,찌그러짐,,안전성에 영향 없음,불필요,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
13,2025-02-14,김김김,010-1111-1111,부산광역시 부산진구 서면로 10,"누수/백태, 박리",,,,,,,,,,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,대규모,화학적 반응,안전성에 영향 없음,필요,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,불필요,
13,2025-02-14,김김김,010-1111-1111,부산광역시 부산진구 서면로 10,"누수/백태, 박리",,,,,,,,,,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,대규모,화학적 반응,안전성에 영향 없음,필요,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,불필요,
13,2025-02-14,김김김,010-1111-1111,부산광역시 부산진구 서면로 10,"누수/백태, 박리",,,,,,,,,,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,대규모,화학적 반응,안전성에 영향 없음,필요,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,불필요,
13,2025-02-14,김김김,010-1111-1111,부산광역시 부산진구 서면로 10,"누수/백태, 박리",,,,,,,,,,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,대규모,화학적 반응,안전성에 영향 없음,필요,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,불필요,
13,2025-02-14,김김김,010-1111-1111,부산광역시 부산진구 서면로 10,"누수/백태, 박리",,,,,,,,,,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,대규모,화학적 반응,안전성에 영향 없음,필요,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,불필요,
13,2025-02-14,김김김,010-1111-1111,부산광역시 부산진구 서면로 10,"누수/백태, 박리",,,,,,,,,,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,대규모,화학적 반응,안전성에 영향 없음,필요,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,불필요,
13,2025-02-14,김김김,010-1111-1111,부산광역시 부산진구 서면로 10,"누수/백태, 박리",,,,,,,,,,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,대규모,화학적 반응,안전성에 영향 없음,필요,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,불필요,
13,2025-02-14,김김김,010-1111-1111,부산광역시 부산진구 서면로 10,"누수/백태, 박리",,,,,,,,,,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,대규모,화학적 반응,안전성에 영향 없음,필요,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,불필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
1,2025-02-14,점검자,010-3222-3222,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,3,2,1,예,고정됨,확대 됨,위험 없음,불필요,,,대규모,,예,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
3,2025-02-14,고양이,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수직,,,,아니오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,불필요,
3,2025-02-14,고양이,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수직,,,,아니오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,불필요,
31,2025-02-13,김김김,010-3232-3232,부산 동구,"콘크리트 균열, 누수/백태",수직,,,,예,고정됨,확대 됨,위험 있음,불필요,,,대규모,,아니오,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,불필요,
31,2025-02-13,김김김,010-3232-3232,부산 동구,"콘크리트 균열, 누수/백태",수직,,,,예,고정됨,확대 됨,위험 있음,불필요,,,대규모,,아니오,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,불필요,
31,2025-02-13,김김김,010-3232-3232,부산 동구,"콘크리트 균열, 누수/백태",수직,,,,예,고정됨,확대 됨,위험 있음,불필요,,,대규모,,아니오,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,불필요,
31,2025-02-13,김김김,010-3232-3232,부산 동구,"콘크리트 균열, 누수/백태",수직,,,,예,고정됨,확대 됨,위험 있음,불필요,,,대규모,,아니오,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,불필요,
31,2025-02-13,김김김,010-3232-3232,부산 동구,"콘크리트 균열, 누수/백태",수직,,,,예,고정됨,확대 됨,위험 있음,불필요,,,대규모,,아니오,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,불필요,
31,2025-02-13,김김김,010-3232-3232,부산 동구,"콘크리트 균열, 누수/백태",수직,,,,예,고정됨,확대 됨,위험 있음,불필요,,,대규모,,아니오,구조적 손상 가능,필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,불필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
23,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
15,2025-02-19,점검자,010-1111-1111,부산광역시 부산진구 서면로 10,"콘크리트 균열, 누수/백태",수평,2,3,2,예,고정됨,확대 됨,위험 있음,필요,,,중규모,,아니오,구조적 손상 없음,불필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
13,2025-02-26,점검3,010-1234-1234,부산광역시 부산진구 서면로 10,"누수/백태, 강재 손상, 박리",,,,,,,,,,,,중규모,기온 변화,예,구조적 손상 없음,필요,,방수처리,중규모,찌그러짐,피로 및 반복 하중,안전성에 영향 없음,불필요,,강재 교체,소규모,시공 불량,안전성에 영향 없음,불필요,,구조적 문제,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
13,2025-02-26,점검3,010-1234-1234,부산광역시 부산진구 서면로 10,"누수/백태, 강재 손상, 박리",,,,,,,,,,,,중규모,기온 변화,예,구조적 손상 없음,필요,,방수처리,중규모,찌그러짐,피로 및 반복 하중,안전성에 영향 없음,불필요,,강재 교체,소규모,시공 불량,안전성에 영향 없음,불필요,,구조적 문제,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
13,2025-02-26,점검3,010-1234-1234,부산광역시 부산진구 서면로 10,"누수/백태, 강재 손상, 박리",,,,,,,,,,,,중규모,기온 변화,예,구조적 손상 없음,필요,,방수처리,중규모,찌그러짐,피로 및 반복 하중,안전성에 영향 없음,불필요,,강재 교체,소규모,시공 불량,안전성에 영향 없음,불필요,,구조적 문제,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
13,2025-02-26,점검3,010-1234-1234,부산광역시 부산진구 서면로 10,"누수/백태, 강재 손상, 박리",,,,,,,,,,,,중규모,기온 변화,예,구조적 손상 없음,필요,,방수처리,중규모,찌그러짐,피로 및 반복 하중,안전성에 영향 없음,불필요,,강재 교체,소규모,시공 불량,안전성에 영향 없음,불필요,,구조적 문제,,,,,,,,,,,,,,구조적 문제 발생 가능성 있음,필요,
13,2025-02-13,점검3,010-3232-3232,부산 남구,콘크리트 균열,수평,,,,,,,,,,,중규모,습도 변화,예,구조적 손상 가능,필요,반창고,균열 보수,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,필요,
13,2025-02-13,점검3,010-3232-3232,부산 남구,콘크리트 균열,수평,,,,,,,,,,,중규모,습도 변화,예,구조적 손상 가능,필요,반창고,균열 보수,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,필요,
13,2025-02-13,점검3,010-3232-3232,부산 남구,누수/백태,수평,,,,아니오,,,,,,,중규모,습도 변화,예,구조적 손상 가능,필요,반창고,균열 보수,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,필요,
13,2025-02-13,점검3,010-3232-3232,부산 남구,"콘크리트 균열, 누수/백태",수평,3,2,1,아니오,이동 중,확대 됨,위험 없음,필요,반창고,주입식 수리,중규모,습도 변화,예,구조적 손상 가능,필요,반창고,균열 보수,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,필요,
13,2025-02-13,점검3,010-3232-3232,부산 남구,"콘크리트 균열, 누수/백태",수평,3,2,1,아니오,이동 중,확대 됨,위험 없음,필요,반창고,주입식 수리,중규모,습도 변화,예,구조적 손상 가능,필요,반창고,균열 보수,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,필요,
13,2025-02-13,점검3,010-3232-3232,부산 남구,"콘크리트 균열, 누수/백태",수평,3,2,1,아니오,이동 중,확대 됨,위험 없음,필요,반창고,주입식 수리,중규모,습도 변화,예,구조적 손상 가능,필요,반창고,균열 보수,,,,,,,,,,,,,,,,,,,,,,,,,,,안전성에 문제 없음,필요,
